dataset,method,threshold_A,threshold_B,accuracy,earliness,hm_score,stability
ItalyPowerDemand,Orch2-OR,0.4,0.7,0.6647,0.875,0.7555,
ItalyPowerDemand,Orch2-AND,0.4,0.7,0.9368,0.0801,0.1476,
ItalyPowerDemand,Orch2-WEIGHTED,0.4,0.7,0.6647,0.875,0.7555,
ItalyPowerDemand,EK-Aggressive,0.4,0.4,0.6647,0.875,0.7555,
ItalyPowerDemand,EK-Conservative,0.7,0.7,0.9368,0.0816,0.1502,
ECG200,Orch2-OR,0.4,0.7,0.71,0.9688,0.8194,
ECG200,Orch2-AND,0.4,0.7,0.85,0.1615,0.2714,
ECG200,Orch2-WEIGHTED,0.4,0.7,0.71,0.9688,0.8194,
ECG200,EK-Aggressive,0.4,0.4,0.71,0.9688,0.8194,
ECG200,EK-Conservative,0.7,0.7,0.85,0.1708,0.2845,
SonyAIBORobotSurface1,Orch2-OR,0.4,0.7,0.8003,0.9571,0.8717,
SonyAIBORobotSurface1,Orch2-AND,0.4,0.7,0.7271,0.1302,0.2209,
SonyAIBORobotSurface1,Orch2-WEIGHTED,0.4,0.7,0.8003,0.9571,0.8717,
SonyAIBORobotSurface1,EK-Aggressive,0.4,0.4,0.8003,0.9571,0.8717,
SonyAIBORobotSurface1,EK-Conservative,0.7,0.7,0.7271,0.1314,0.2226,
ECG5000,Orch2-OR,0.4,0.7,0.8053,0.9786,0.8835,
ECG5000,Orch2-AND,0.4,0.7,0.9116,0.1277,0.2241,
ECG5000,Orch2-WEIGHTED,0.4,0.7,0.8053,0.9786,0.8835,
ECG5000,EK-Aggressive,0.4,0.4,0.8053,0.9786,0.8835,
ECG5000,EK-Conservative,0.7,0.7,0.9116,0.1348,0.2349,
Wafer,Orch2-OR,0.4,0.7,0.9883,0.9803,0.9843,
Wafer,Orch2-AND,0.4,0.7,0.9956,0.6186,0.7631,
Wafer,Orch2-WEIGHTED,0.4,0.7,0.9883,0.9803,0.9843,
Wafer,EK-Aggressive,0.4,0.4,0.9883,0.9803,0.9843,
Wafer,EK-Conservative,0.7,0.7,0.9956,0.622,0.7656,
