dataset,method,accuracy,earliness,hm_score,stability
ItalyPowerDemand,ECONOMY-K,0.7191,0.7416,0.7302,0.0
ItalyPowerDemand,ECONOMY-K,0.7191,0.7416,0.7302,0.0
ItalyPowerDemand,Orch-OR,0.7191,0.7416,0.7302,0.0
ItalyPowerDemand,Orch-AND,0.7191,0.0,0.0,0.0
ItalyPowerDemand,Orch-WEIGHTED,0.7191,0.7416,0.7302,0.0
ECG200,ECONOMY-K,0.73,0.8986,0.8056,0.0
ECG200,ECONOMY-K,0.73,0.8986,0.8056,0.0
ECG200,Orch-OR,0.73,0.8986,0.8056,0.0
ECG200,Orch-AND,0.73,0.0,0.0,0.0
ECG200,Orch-WEIGHTED,0.73,0.8986,0.8056,0.0
SonyAIBORobotSurface1,ECONOMY-K,0.7687,0.8513,0.8079,0.0
SonyAIBORobotSurface1,ECONOMY-K,0.7687,0.8513,0.8079,0.0
SonyAIBORobotSurface1,Orch-OR,0.7687,0.8513,0.8079,0.0
SonyAIBORobotSurface1,Orch-AND,0.7687,0.0,0.0,0.0
SonyAIBORobotSurface1,Orch-WEIGHTED,0.7687,0.8513,0.8079,0.0
ECG5000,ECONOMY-K,0.8276,0.9162,0.8696,0.0
ECG5000,ECONOMY-K,0.8276,0.9162,0.8696,0.0
ECG5000,Orch-OR,0.8276,0.9162,0.8696,0.0
ECG5000,Orch-AND,0.8276,0.0,0.0,0.0
ECG5000,Orch-WEIGHTED,0.8276,0.9162,0.8696,0.0
Wafer,ECONOMY-K,0.9898,0.9552,0.9722,0.0
Wafer,ECONOMY-K,0.9898,0.9552,0.9722,0.0
Wafer,Orch-OR,0.9898,0.9552,0.9722,0.0
Wafer,Orch-AND,0.9898,0.0,0.0,0.0
Wafer,Orch-WEIGHTED,0.9898,0.9552,0.9722,0.0
