dataset,threshold,accuracy,earliness,hm_score
ItalyPowerDemand,0.1,0.6647,0.875,0.7555
ItalyPowerDemand,0.15,0.6647,0.875,0.7555
ItalyPowerDemand,0.2,0.6647,0.875,0.7555
ItalyPowerDemand,0.25,0.6647,0.875,0.7555
ItalyPowerDemand,0.3,0.6647,0.875,0.7555
ItalyPowerDemand,0.35,0.6647,0.875,0.7555
ItalyPowerDemand,0.4,0.6647,0.875,0.7555
ItalyPowerDemand,0.45,0.6647,0.875,0.7555
ItalyPowerDemand,0.5,0.6647,0.875,0.7555
ItalyPowerDemand,0.55,0.7191,0.7416,0.7302
ItalyPowerDemand,0.6,0.8319,0.42,0.5582
ItalyPowerDemand,0.65,0.9086,0.1875,0.3109
ItalyPowerDemand,0.7,0.9368,0.0816,0.1502
ItalyPowerDemand,0.75,0.9504,0.0292,0.0566
ItalyPowerDemand,0.8,0.9524,0.0091,0.018
ItalyPowerDemand,0.85,0.9543,0.0026,0.0051
ItalyPowerDemand,0.9,0.9553,0.0,0.0
ItalyPowerDemand,0.95,0.9553,0.0,0.0
ECG200,0.1,0.71,0.9688,0.8194
ECG200,0.15,0.71,0.9688,0.8194
ECG200,0.2,0.71,0.9688,0.8194
ECG200,0.25,0.71,0.9688,0.8194
ECG200,0.3,0.71,0.9688,0.8194
ECG200,0.35,0.71,0.9688,0.8194
ECG200,0.4,0.71,0.9688,0.8194
ECG200,0.45,0.71,0.9688,0.8194
ECG200,0.5,0.71,0.9688,0.8194
ECG200,0.55,0.73,0.8986,0.8056
ECG200,0.6,0.82,0.6322,0.7139
ECG200,0.65,0.82,0.3348,0.4755
ECG200,0.7,0.85,0.1708,0.2845
ECG200,0.75,0.87,0.0951,0.1715
ECG200,0.8,0.89,0.0281,0.0545
ECG200,0.85,0.89,0.0097,0.0192
ECG200,0.9,0.88,0.0,0.0
ECG200,0.95,0.88,0.0,0.0
SonyAIBORobotSurface1,0.1,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.15,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.2,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.25,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.3,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.35,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.4,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.45,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.5,0.8003,0.9571,0.8717
SonyAIBORobotSurface1,0.55,0.7687,0.8513,0.8079
SonyAIBORobotSurface1,0.6,0.7621,0.5135,0.6136
SonyAIBORobotSurface1,0.65,0.7454,0.2739,0.4006
SonyAIBORobotSurface1,0.7,0.7271,0.1314,0.2226
SonyAIBORobotSurface1,0.75,0.7171,0.0666,0.1219
SonyAIBORobotSurface1,0.8,0.7038,0.0302,0.0579
SonyAIBORobotSurface1,0.85,0.7005,0.0159,0.0311
SonyAIBORobotSurface1,0.9,0.6988,0.0063,0.0126
SonyAIBORobotSurface1,0.95,0.6955,0.0,0.0
ECG5000,0.1,0.8053,0.9786,0.8835
ECG5000,0.15,0.8053,0.9786,0.8835
ECG5000,0.2,0.8053,0.9786,0.8835
ECG5000,0.25,0.8053,0.9786,0.8835
ECG5000,0.3,0.8053,0.9786,0.8835
ECG5000,0.35,0.8053,0.9786,0.8835
ECG5000,0.4,0.8053,0.9786,0.8835
ECG5000,0.45,0.8053,0.9786,0.8835
ECG5000,0.5,0.8053,0.9786,0.8835
ECG5000,0.55,0.8276,0.9162,0.8696
ECG5000,0.6,0.8671,0.5876,0.7005
ECG5000,0.65,0.8953,0.2917,0.44
ECG5000,0.7,0.9116,0.1348,0.2349
ECG5000,0.75,0.9187,0.0549,0.1036
ECG5000,0.8,0.9222,0.0218,0.0427
ECG5000,0.85,0.9249,0.0067,0.0134
ECG5000,0.9,0.9249,0.0013,0.0026
ECG5000,0.95,0.9249,0.0002,0.0004
Wafer,0.1,0.9883,0.9803,0.9843
Wafer,0.15,0.9883,0.9803,0.9843
Wafer,0.2,0.9883,0.9803,0.9843
Wafer,0.25,0.9883,0.9803,0.9843
Wafer,0.3,0.9883,0.9803,0.9843
Wafer,0.35,0.9883,0.9803,0.9843
Wafer,0.4,0.9883,0.9803,0.9843
Wafer,0.45,0.9883,0.9803,0.9843
Wafer,0.5,0.9883,0.9803,0.9843
Wafer,0.55,0.9898,0.9552,0.9722
Wafer,0.6,0.9909,0.8815,0.933
Wafer,0.65,0.9943,0.7593,0.861
Wafer,0.7,0.9956,0.622,0.7656
Wafer,0.75,0.9966,0.4856,0.653
Wafer,0.8,0.9966,0.3603,0.5292
Wafer,0.85,0.9964,0.2427,0.3903
Wafer,0.9,0.9963,0.1413,0.2475
Wafer,0.95,0.9958,0.0601,0.1134
